Name,GID,Team,Modified,Members
P001299_MEDC_Project_Swing_Big,1204506278280505,MEDC,2023-11-30T22:04:18.783Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1204450890868803', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201712374309396', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}]"
MEDC- P000624 - Talent Campaign Phase 1,1203415212314683,MEDC,2023-11-03T16:17:13.814Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
MEDC- P001352 - Talent Campaign Phase 3,1204053427424290,MEDC,2023-11-27T20:47:27.132Z,"[{'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1203100821139791', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
Content Productions,1202101196230267,Gravity - Content Practice Area,2024-02-15T21:02:39.553Z,"[{'gid': '1201853457626650', 'resource_type': 'user'}, {'gid': '1203650117376674', 'resource_type': 'user'}, {'gid': '1202192593999036', 'resource_type': 'user'}, {'gid': '1202192593999078', 'resource_type': 'user'}, {'gid': '1202192593999076', 'resource_type': 'user'}, {'gid': '1202192593999054', 'resource_type': 'user'}, {'gid': '1202192593999058', 'resource_type': 'user'}, {'gid': '1201767168263117', 'resource_type': 'user'}, {'gid': '1204650547598752', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1204909303632526', 'resource_type': 'user'}, {'gid': '1202192593999046', 'resource_type': 'user'}, {'gid': '1205840309336934', 'resource_type': 'user'}, {'gid': '1205921754203782', 'resource_type': 'user'}, {'gid': '1205720756575634', 'resource_type': 'user'}, {'gid': '1204937843537159', 'resource_type': 'user'}, {'gid': '1206316946908175', 'resource_type': 'user'}]"
🚀9W Asana Forum & Help Center ,1201986056292810,Templates MERGE,2023-07-25T20:09:58.543Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1201896607250822', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1202599831317395', 'resource_type': 'user'}]"
ARS Research Approach/Methodology,1201964860384446,Templates MERGE,2023-07-28T19:36:19.203Z,[]
MEDC Talent Phase 2 Timeline,1203496506746828,MEDC,2023-10-19T23:06:22.211Z,"[{'gid': '1201896652222510', 'resource_type': 'user'}]"
IP License Request,1203386928129382,Gravity - Content Practice Area,2023-11-08T17:34:32.889Z,"[{'gid': '1201853457626650', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1204650547598752', 'resource_type': 'user'}, {'gid': '1204727688796948', 'resource_type': 'user'}, {'gid': '1204909303632526', 'resource_type': 'user'}, {'gid': '1204937843537159', 'resource_type': 'user'}, {'gid': '1205840309336934', 'resource_type': 'user'}]"
[Ref.] Content - Post Production Only Template,1201818861713420,Templates MERGE,2023-07-25T20:09:58.594Z,[]
Duplicate of AHA: Virginia's Template,1203810268500709,Templates MERGE,2023-10-19T23:06:22.451Z,"[{'gid': '1201896650569704', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1202669898798720', 'resource_type': 'user'}, {'gid': '1203372999122601', 'resource_type': 'user'}, {'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201273468880092', 'resource_type': 'user'}]"
[Ref.] Content - Radio Production Template,1201818861713422,Templates MERGE,2023-07-25T20:09:58.670Z,[]
[Ref.] Content - Campaign Production Template,1201818861713424,Templates MERGE,2023-10-20T18:46:03.459Z,[]
Resources & Templates,1201789943282869,Gravity - Content Practice Area,2023-07-24T15:11:32.815Z,[]
Misc. Tasks ,1202014043195010,Gravity - Content Practice Area,2023-07-24T15:11:32.863Z,[]
_Campaign Production Template,1201754019504615,Gravity - Content Practice Area,2023-07-24T15:11:32.806Z,[]
FY24 HPE & Marine Email Calendar Overview,1204920387171291,Honda PE Emails,2024-01-16T20:07:17.339Z,"[{'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}]"
P000508 MEDC DIGITAL | UX & SEO AUDIT ,1201894700408118,MEDC,2024-02-12T17:03:59.036Z,"[{'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201896652222510', 'resource_type': 'user'}, {'gid': '1201712374604400', 'resource_type': 'user'}, {'gid': '1201712374309396', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1204995205038859', 'resource_type': 'user'}]"
Alcon XXXXXX_Vision Works Game Show Deck Video Edit. _Post Production Template,1202288221089395,Alcon,2023-07-25T20:02:14.506Z,"[{'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201853457626650', 'resource_type': 'user'}]"
MEDC_16624_MobilityVideosResize ,1202766737833674,MEDC,2023-07-25T20:03:32.105Z,"[{'gid': '1201896573511855', 'resource_type': 'user'}, {'gid': '1201710975297325', 'resource_type': 'user'}, {'gid': '1201853457626650', 'resource_type': 'user'}]"
Cox Enterprises Monthly Web Updates - Job P002104,1202383953035794,Cox,2024-02-06T22:32:38.467Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}]"
FY24 HPS Email Calendar Overview,1204498598115431,Honda PS Emails,2024-01-16T20:06:50.929Z,"[{'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}]"
P001178 HPS 2024 Supercross Email,1206039633280373,Honda PS Emails,2023-12-20T19:15:08.660Z,"[{'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1201896573439293', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}, {'gid': '1201819725251174', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}]"
