Name,GID,Team,Modified,Members
FY23 16636 Generator Series - Summer Sends,1202184587565572,Honda PE Emails,2023-07-25T20:03:12.545Z,"[{'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}]"
[DEV] Ergomotion Website MRO Retainer 16346,1202221437918791,VN Dev Team,2024-01-12T15:24:52.376Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}, {'gid': '1202536515246475', 'resource_type': 'user'}]"
P001056 HPS - Family of Brands Utility Nav,1203960042599943,Honda Digital,2023-07-25T20:03:11.155Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201896573439293', 'resource_type': 'user'}, {'gid': '1202965675746860', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}]"
[DEV] Managed  website Projects [989687665],1202221690423938,VN Dev Team,2024-02-06T17:46:30.841Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201719304365594', 'resource_type': 'user'}]"
16812-Meat Fight Landing Page,1202225687768354,Meat Fight,2023-08-01T14:33:07.776Z,"[{'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
16676_Phillips 66 Marketing Conference_Brand Booths_PostProduction,1202214304038715,Z-DELETE Gravity Global - Phillips 66,2023-10-06T20:45:53.916Z,"[{'gid': '1201853457626650', 'resource_type': 'user'}, {'gid': '1202026495323462', 'resource_type': 'user'}, {'gid': '1202192593999036', 'resource_type': 'user'}]"
16414 Centric Parts Monthly Website Maintenance,1202219838572486,Centric Parts,2023-10-09T14:47:55.562Z,"[{'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}]"
[DEV - 16693] Email CSN P66,1202228087967280,VN Dev Team,2023-11-07T07:12:10.843Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}]"
16538 HondaJet Sitecore Upgrade - QA ,1202036854516603,Honda Digital,2023-07-25T20:03:11.185Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}]"
[DEV] -  16732 Alcon Email Network DT1FA  (9/5),1202234254586807,VN Dev Team,2023-11-07T07:12:10.846Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
[Dev] P001013 Kaelus General,1202234316807131,Kaelus,2024-01-12T15:24:52.483Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}]"
[Dev] P001018 RadioWaves: Website ,1202250425789144,VN Dev Team,2023-11-07T07:11:58.958Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
AHA: Virginia's Template,1202249986869628,American Heart Association,2023-11-03T16:50:17.243Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1203372999122601', 'resource_type': 'user'}, {'gid': '1201886794299618', 'resource_type': 'user'}, {'gid': '1201730302665426', 'resource_type': 'user'}, {'gid': '1204187533059357', 'resource_type': 'user'}, {'gid': '1205317919238744', 'resource_type': 'user'}, {'gid': '1205720756575634', 'resource_type': 'user'}]"
58 - AHA Wellbeing Works Better,1202249986869694,American Heart Association,2023-08-01T14:33:12.471Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}]"
P001079 HPS Sitecore Backend Dev Setup,1203981254505810,Honda Digital,2024-01-12T15:24:53.127Z,"[{'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}]"
FY23 16636 Mower Series - Summer Sends (3),1202263133804651,Honda PE Emails,2023-07-25T20:03:12.564Z,"[{'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}]"
[DEV] - 16838 Alcon IDOC Select ,1202258158890439,VN Dev Team,2023-07-25T20:10:24.110Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
[DEV] FY23 Mini Moto Email,1202264569147059,VN Dev Team,2024-01-12T15:24:58.269Z,"[{'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}]"
DEV - [16498] - Fitzsimons Website [Sprint],1202264576424916,VN Dev Team,2024-01-12T15:24:53.788Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
[Dev] 16778 - ADCS Online Booking,1202271700437118,VN Dev Team,2023-11-07T07:11:58.979Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
16646 - Nemours 22 Digital Acquisition Refresh,1202285611249381,Nemours,2024-01-31T14:14:38.475Z,"[{'gid': '1201621784546196', 'resource_type': 'user'}, {'gid': '1201840747987770', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201896607250822', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1205139226462178', 'resource_type': 'user'}, {'gid': '1203372999122601', 'resource_type': 'user'}]"
Nemours Template,1202285611370498,Nemours,2024-01-31T14:14:38.397Z,"[{'gid': '1201896607250822', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}]"
[DEV] - 16651 HONDAJET WEBSITE MAINTENANCE,1201968736097431,Honda Digital,2024-01-12T15:24:52.463Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}]"
[DEV] BellFlight Team Valor banner,1202288699850141,VN Dev Team,2023-12-04T00:33:57.828Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}]"
Asana Task Automation,1202292812136663,Digital-Dev,2023-07-25T20:02:46.264Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}]"
[DEV] - 16814 - Network T30 AlconTV Email (Vision source),1202295945711850,VN Dev Team,2023-11-07T07:12:10.863Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
RapidScale Managed Hosting - P002015,1202294093347541,Rapidscale,2024-01-18T20:32:44.628Z,"[{'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}]"
P000237 Internal Process Updates,1202302898066982,Z-DELETE SA Internal,2024-01-12T15:25:07.556Z,"[{'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}]"
Cody Onboarding,1202184675387738,Z-DELETE SA Internal,2023-07-25T20:09:31.862Z,"[{'gid': '1202125468462442', 'resource_type': 'user'}]"
[DEV - P001610] - RapidScale,1202290205056562,Rapidscale,2024-01-12T15:24:55.728Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
[DEV] - TOTAL30+CLC Email Development ,1202303654894537,VN Dev Team,2023-07-25T20:10:24.262Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
55 - HTPD Town Hall PPT,1202307572099831,HomeTeam,2023-07-25T20:03:07.102Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201621784546196', 'resource_type': 'user'}]"
[DEV] - 016052-1 Bell: AR Experience for AUSA,1202319111505923,VN Dev Team,2024-01-12T15:25:21.526Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}]"
RadioWaves Managed Hosting - P002029,1202318661008077,Radiowaves,2024-01-16T17:18:52.892Z,"[{'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}]"
[DEV] Young Eagles Landing Page - 16677 P66 AV WEBSITE MAINTENANCE ,1202327372964815,VN Dev Team,2024-01-12T15:25:34.040Z,"[{'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}]"
[DEV] P000878-ExakTime [Sprint],1202327854650294,Arcoro,2024-01-12T15:24:53.885Z,"[{'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}]"
JCF Misc. Tasks / AdHoc Requests Template,1202334306212962,Jewish Community Foundation,2023-12-16T01:08:49.610Z,"[{'gid': '1201876168709821', 'resource_type': 'user'}]"
Digital Creative,1202334329661790,Creative,2023-12-15T21:12:52.797Z,"[{'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}]"
Nha Trang IT,1202343834908437,VN Dev Team,2024-01-22T08:52:19.795Z,"[{'gid': '1202942584784352', 'resource_type': 'user'}]"
[Dev]16654/16600 Website Maintenance (FY23),1202350365281126,Honda Digital,2024-01-12T15:25:34.085Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}]"
[DEV - P000913] Outrider [Sprint],1202345380033501,VN Dev Team,2024-01-12T15:24:53.796Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}]"
[DEV - XXXXX] CRE,1202359137845899,VN Dev Team,2023-07-25T20:10:24.434Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}]"
16655 DISCOVER & DEFINE PSP RESDESIGN,1202369072040406,Honda Redesign,2024-02-15T16:35:32.131Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1201896573439293', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201896652222510', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}, {'gid': '1205081857008751', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}]"
DESIGN PSP RESDESIGN,1202369072322042,Honda Redesign,2023-07-25T20:03:14.086Z,"[{'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}]"
DEVELOP PSP RESDESIGN,1202369072322077,Honda Redesign,2023-07-25T20:03:14.107Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}]"
DEPLOY PSP RESDESIGN,1202369072322202,Honda Redesign,2023-07-25T20:03:14.131Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}]"
Fitzsimons Retrospective,1202372636758722,VN Dev Team,2024-01-12T15:25:16.126Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}]"
DEV -P000914 Moye White Monthly Web Updates,1202379348568614,Moye White,2024-01-12T15:24:55.698Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}]"
[DEV - 16416-1] - EMS Software: Corporate Website Updates,1202379372030910,VN Dev Team,2024-01-12T15:24:52.369Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}]"
[DEV] Fiji - 16207 Tourism Fiji Map,1202387386083803,VN Dev Team,2024-01-12T15:25:34.099Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}]"
Dev Sprint 1 - Website Redesign,1202398664841734,Craig Hospital,2024-01-12T15:25:21.538Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}]"
Dev Sprint 2 - Website Redesign,1202398664841747,Craig Hospital,2023-07-25T20:02:37.063Z,"[{'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1202536515246475', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}]"
LT Foods - Carly's Template,1202401142238653,Z-DELETE Carly's Templates,2023-10-19T23:06:22.181Z,[]
Ocean First Misc. Web Updates - P000874,1203666239594411,Ocean First,2024-01-12T15:24:55.774Z,"[{'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201801255411410', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}]"
[Dev] P000874 Ocean First Institute,1202402074365794,Ocean First,2024-01-12T15:24:53.832Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}]"
[DEV - P001269] Intrepid [Sprint],1202404172294662,VN Dev Team,2024-01-12T15:24:55.636Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}]"
[Dev] Dockzilla,1202448582761432,VN Dev Team,2023-07-25T20:10:24.648Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}]"
LT Foods_000145_Ramadan FY23 ,1202447173304712,LT Foods,2023-10-19T23:06:22.268Z,"[{'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201326579002373', 'resource_type': 'user'}]"
LT Foods_P000074_Shades of South India FY23,1202318597200092,LT Foods,2023-10-19T23:06:22.271Z,"[{'gid': '1201326579002373', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}]"
LT Foods_000114_Back To School FY 23 ,1202447173304692,LT Foods,2023-10-19T23:06:22.260Z,[]
P000092_Influencer Deck,1202242374426440,LT Foods,2023-10-19T23:06:22.267Z,"[{'gid': '1201326579002373', 'resource_type': 'user'}]"
LT Foods - P000325 - Royal Stores Targeting Request,1202738898849491,LT Foods,2023-10-19T23:06:22.229Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}]"
LT Foods_16704_Spring Forward,1202056869203842,LT Foods,2023-10-19T23:06:22.205Z,[]
LT Foods - 16306 - Holi Production,1201818861713446,LT Foods,2023-10-19T23:06:22.251Z,"[{'gid': '1201326579002373', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}]"
P000104_Summer Organic Content FY23,1202372029246979,LT Foods,2023-10-19T23:06:22.347Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}, {'gid': '1201326579002373', 'resource_type': 'user'}]"
P000190 - FY23 Daawat Summer,1202491038743765,LT Foods,2023-07-25T20:03:27.998Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}]"
P000241 - LT Foods Influencer Contracts,1202607080284085,LT Foods,2023-07-25T20:03:28.020Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}]"
Influencer project template,1202848553891785,LT Foods,2023-07-25T20:03:28.048Z,[]
TEST PROJECT - Duplicate of  _Radio Production Template,1202445830946315,LT Foods,2023-07-25T20:03:28.075Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1201853457626650', 'resource_type': 'user'}]"
[Dev] P000881 - Band-IT [Sprint],1202461994461024,BAND-IT,2024-01-12T15:24:53.870Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}]"
Bestway Managed Hosting - Job P002032,1202476603380693,Bestway,2024-01-16T17:18:34.023Z,"[{'gid': '1202536515246475', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
57 - HTPD SEO & Content,1202481779518691,HomeTeam,2023-07-25T20:03:07.126Z,"[{'gid': '1201273468880092', 'resource_type': 'user'}, {'gid': '1201876127134320', 'resource_type': 'user'}, {'gid': '1201347774970467', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201915514702091', 'resource_type': 'user'}, {'gid': '1201314726380739', 'resource_type': 'user'}]"
[DEV] Summer Sends - Honda email - 16636,1202484761109141,VN Dev Team,2024-01-12T15:24:58.276Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}]"
2022 Misc. Deliverables - Job #P000197,1202495621059596,Frutura,2023-07-25T20:02:58.464Z,[]
[DEV] Email P66 AV WEBSITE MAINTENANCE,1202515199074646,VN Dev Team,2024-01-12T15:24:58.306Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}]"
P000205 - Shopify ADA Fix,1202520759897281,Bosley,2023-11-07T07:11:59.247Z,"[{'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201801255411410', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1203372999122601', 'resource_type': 'user'}, {'gid': '1201896607250822', 'resource_type': 'user'}, {'gid': '1201602920261772', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}]"
P000207 - MH23 MMHS OOH Billboard and Kiosk Production,1202521861305797,Memorial Hermann,2023-07-25T20:03:33.093Z,"[{'gid': '1201801255411410', 'resource_type': 'user'}]"
[DEV - xxxxx] BIOSEARCH Website,1202522222178887,VN Dev Team,2023-07-25T20:10:24.718Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}]"
[DEV - 16842] Syndeo Institute,1202522950801649,The Cable Center,2024-01-12T15:24:54.001Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}]"
[Dev] 16414 Centric Parts Monthly Website Maintenance,1202522994704826,VN Dev Team,2023-07-25T20:10:24.741Z,"[{'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}]"
